query_id,Q0,doc_id,rank,score,run_id
Q000000,Q0,B0002764,1,0.6083632707595825,BiEncoder
Q000000,Q0,B0006368,2,0.6083632707595825,BiEncoder
Q000000,Q0,B0016988,3,0.6083632707595825,BiEncoder
Q000000,Q0,B0003783,4,0.6153513193130493,BiEncoder
Q000000,Q0,B0004210,5,0.6153513193130493,BiEncoder
Q000000,Q0,B0015638,6,0.6153513193130493,BiEncoder
Q000000,Q0,B0002711,7,0.6366543173789978,BiEncoder
Q000000,Q0,B0001689,8,0.6421950459480286,BiEncoder
Q000000,Q0,B0019697,9,0.6421950459480286,BiEncoder
Q000000,Q0,B0010854,10,0.6660135984420776,BiEncoder
Q000000,Q0,B0007583,11,0.6855656504631042,BiEncoder
Q000000,Q0,B0011884,12,0.6855656504631042,BiEncoder
Q000000,Q0,B0007897,13,0.7151036262512207,BiEncoder
Q000000,Q0,B0003484,14,0.7264722585678101,BiEncoder
Q000000,Q0,B0016100,15,0.7264722585678101,BiEncoder
Q000000,Q0,B0004358,16,0.7445019483566284,BiEncoder
Q000000,Q0,B0010743,17,0.7445025444030762,BiEncoder
Q000000,Q0,B0011542,18,0.7445025444030762,BiEncoder
Q000000,Q0,B0007332,19,0.7510305047035217,BiEncoder
Q000000,Q0,B0001396,20,0.7549986839294434,BiEncoder
Q000000,Q0,B0000374,21,0.7633644938468933,BiEncoder
Q000000,Q0,B0001156,22,0.7633644938468933,BiEncoder
Q000000,Q0,B0002786,23,0.7702186107635498,BiEncoder
Q000000,Q0,B0018941,24,0.7702186107635498,BiEncoder
Q000000,Q0,B0009487,25,0.7811181545257568,BiEncoder
Q000000,Q0,B0001647,26,0.7811182737350464,BiEncoder
Q000000,Q0,B0008298,27,0.7830297946929932,BiEncoder
Q000000,Q0,B0002714,28,0.7908520698547363,BiEncoder
Q000000,Q0,B0019276,29,0.797593891620636,BiEncoder
Q000000,Q0,B0008299,30,0.7977488040924072,BiEncoder
Q000000,Q0,B0018009,31,0.7977488040924072,BiEncoder
Q000000,Q0,B0008373,32,0.7986853122711182,BiEncoder
Q000000,Q0,B0015120,33,0.8039482831954956,BiEncoder
Q000000,Q0,B0016290,34,0.8046908974647522,BiEncoder
Q000000,Q0,B0001467,35,0.8142473101615906,BiEncoder
Q000000,Q0,B0004099,36,0.8142473101615906,BiEncoder
Q000000,Q0,B0012970,37,0.8142473101615906,BiEncoder
Q000000,Q0,B0011456,38,0.8142473697662354,BiEncoder
Q000000,Q0,B0004778,39,0.814785361289978,BiEncoder
Q000000,Q0,B0013654,40,0.814785361289978,BiEncoder
Q000000,Q0,B0008938,41,0.8259315490722656,BiEncoder
Q000000,Q0,B0014345,42,0.8276308178901672,BiEncoder
Q000000,Q0,B0018421,43,0.8276308178901672,BiEncoder
Q000000,Q0,B0004022,44,0.8350815773010254,BiEncoder
Q000000,Q0,B0019007,45,0.8452686071395874,BiEncoder
Q000000,Q0,B0008955,46,0.8475963473320007,BiEncoder
Q000000,Q0,B0004750,47,0.8479300737380981,BiEncoder
Q000000,Q0,B0005640,48,0.8479300737380981,BiEncoder
Q000000,Q0,B0005222,49,0.8479302525520325,BiEncoder
Q000000,Q0,B0016552,50,0.849198043346405,BiEncoder
Q000000,Q0,B0007725,51,0.8503140807151794,BiEncoder
Q000000,Q0,B0015699,52,0.856964111328125,BiEncoder
Q000000,Q0,B0000469,53,0.861504316329956,BiEncoder
Q000000,Q0,B0008794,54,0.8660430312156677,BiEncoder
